# QR-SHIELD Malicious URL Test Dataset
# Format: url,expected_verdict,category,description
# expected_verdict: MALICIOUS or SUSPICIOUS
# 
# This dataset tests real-world phishing patterns observed in the wild.
# Sources: PhishTank patterns, OpenPhish patterns, brand impersonation studies
#
# Categories:
# - TYPOSQUATTING: Misspelled brand names
# - HOMOGRAPH: Character substitution (0 for O, 1 for l)
# - SUBDOMAIN_ABUSE: Legitimate brand in subdomain, malicious TLD
# - RISKY_TLD: Free/cheap TLDs commonly abused (.tk, .ml, .ga, .cf, .gq)
# - URL_SHORTENER: Shortened URLs hiding destination
# - BRAND_IMPERSONATION: Fake brand keywords in domain
# - INSECURE: HTTP without HTTPS for sensitive pages
# - SUSPICIOUS_PATH: Login/verify paths on untrusted domains
# - COMBO: Multiple red flags combined

url,expected_verdict,category,description
https://instagran.com/login,MALICIOUS,TYPOSQUATTING,Instagram n instead of m
https://whatsaap.com/web,MALICIOUS,TYPOSQUATTING,WhatsApp extra a
https://spotlfy.com/premium,MALICIOUS,TYPOSQUATTING,Spotify l instead of i
https://dropb0x.com/files,MALICIOUS,TYPOSQUATTING,Dropbox with 0
https://yahooo.com/mail,MALICIOUS,TYPOSQUATTING,Yahoo extra o
https://login.microsoft.com.secure-verify.net/auth,MALICIOUS,SUBDOMAIN_ABUSE,Microsoft in subdomain
https://account.apple.com.verify-id.tk/restore,MALICIOUS,SUBDOMAIN_ABUSE,Apple subdomain on .tk
https://signin.google.com.auth-secure.ml/login,MALICIOUS,SUBDOMAIN_ABUSE,Google subdomain on .ml
https://www.paypal.com.account-update.ga/verify,MALICIOUS,SUBDOMAIN_ABUSE,PayPal subdomain on .ga
https://amazon.com.order-tracking.cf/status,MALICIOUS,SUBDOMAIN_ABUSE,Amazon subdomain on .cf
https://netflix.com.billing-update.gq/payment,MALICIOUS,SUBDOMAIN_ABUSE,Netflix subdomain on .gq
https://facebook.com.security-check.tk/verify,MALICIOUS,SUBDOMAIN_ABUSE,Facebook subdomain abuse
https://linkedin.com.job-application.ml/apply,MALICIOUS,SUBDOMAIN_ABUSE,LinkedIn subdomain abuse
https://instagram.com.account-verify.ga/confirm,MALICIOUS,SUBDOMAIN_ABUSE,Instagram subdomain abuse
https://twitter.com.security-alert.cf/action,MALICIOUS,SUBDOMAIN_ABUSE,Twitter subdomain abuse
https://au-post-tracking.tk/delivery,MALICIOUS,RISKY_TLD,AusPost on .tk
https://dhl-package-update.ml/track,MALICIOUS,RISKY_TLD,DHL on .ml
https://fedex-shipping.ga/status,MALICIOUS,RISKY_TLD,FedEx on .ga
https://ups-delivery.cf/confirm,MALICIOUS,RISKY_TLD,UPS on .cf
https://usps-tracking.gq/package,MALICIOUS,RISKY_TLD,USPS on .gq
https://royal-mail-uk.tk/parcel,MALICIOUS,RISKY_TLD,Royal Mail on .tk
https://canada-post.ml/delivery,MALICIOUS,RISKY_TLD,Canada Post on .ml
https://australia-post.ga/track,MALICIOUS,RISKY_TLD,Australia Post on .ga
https://deutsche-post.cf/sendung,MALICIOUS,RISKY_TLD,Deutsche Post on .cf
https://la-poste-fr.gq/colis,MALICIOUS,RISKY_TLD,La Poste on .gq
https://bit.ly/3xYz123,SUSPICIOUS,URL_SHORTENER,Generic bit.ly short URL
https://tinyurl.com/abc123,SUSPICIOUS,URL_SHORTENER,TinyURL short link
https://t.co/xYz789,SUSPICIOUS,URL_SHORTENER,Twitter short link
https://goo.gl/abc456,SUSPICIOUS,URL_SHORTENER,Google short link
https://ow.ly/xyz123,SUSPICIOUS,URL_SHORTENER,Hootsuite short link
https://is.gd/abc789,SUSPICIOUS,URL_SHORTENER,is.gd short link
https://v.gd/xyz456,SUSPICIOUS,URL_SHORTENER,v.gd short link
https://rb.gy/abc123,SUSPICIOUS,URL_SHORTENER,Rebrandly short link
https://cutt.ly/xyz789,SUSPICIOUS,URL_SHORTENER,Cutt.ly short link
https://short.io/abc456,SUSPICIOUS,URL_SHORTENER,Short.io link
https://apple-id-verify.com/restore,MALICIOUS,BRAND_IMPERSONATION,Apple ID verification fake
https://microsoft-account-security.com/verify,MALICIOUS,BRAND_IMPERSONATION,Microsoft security fake
https://google-account-alert.com/action,MALICIOUS,BRAND_IMPERSONATION,Google account fake
https://amazon-order-confirm.com/verify,MALICIOUS,BRAND_IMPERSONATION,Amazon order fake
https://paypal-secure-login.com/auth,MALICIOUS,BRAND_IMPERSONATION,PayPal login fake
https://netflix-payment-update.com/billing,MALICIOUS,BRAND_IMPERSONATION,Netflix billing fake
https://facebook-security-team.com/verify,MALICIOUS,BRAND_IMPERSONATION,Facebook security fake
https://instagram-support-help.com/account,MALICIOUS,BRAND_IMPERSONATION,Instagram support fake
https://twitter-verify-account.com/confirm,MALICIOUS,BRAND_IMPERSONATION,Twitter verify fake
https://linkedin-job-offer.com/apply,MALICIOUS,BRAND_IMPERSONATION,LinkedIn job fake
http://secure-banking.com/login,MALICIOUS,INSECURE,HTTP for banking
http://payment-portal.com/checkout,MALICIOUS,INSECURE,HTTP for payment
http://account-verify.com/confirm,MALICIOUS,INSECURE,HTTP for account
http://signin-secure.com/auth,SUSPICIOUS,INSECURE,HTTP with secure in name
http://password-reset.com/change,MALICIOUS,INSECURE,HTTP for password
http://credit-card-update.com/payment,MALICIOUS,INSECURE,HTTP for credit card
http://bank-transfer.com/send,MALICIOUS,INSECURE,HTTP for bank transfer
http://identity-verify.com/confirm,MALICIOUS,INSECURE,HTTP for identity
http://tax-refund-claim.com/submit,MALICIOUS,INSECURE,HTTP for tax
http://government-benefit.com/apply,SUSPICIOUS,INSECURE,HTTP for government
https://random-domain-xyz.com/login.php,SUSPICIOUS,SUSPICIOUS_PATH,Random domain with login
https://tech-support-help.com/verify-account,SUSPICIOUS,SUSPICIOUS_PATH,Verify account path
https://online-service-portal.com/confirm-identity,SUSPICIOUS,SUSPICIOUS_PATH,Confirm identity path
https://web-application.net/reset-password,SUSPICIOUS,SUSPICIOUS_PATH,Reset password path
https://user-portal.org/update-payment,SUSPICIOUS,SUSPICIOUS_PATH,Update payment path
https://customer-service.info/secure-login,SUSPICIOUS,SUSPICIOUS_PATH,Secure login path
https://account-center.biz/verify-email,SUSPICIOUS,SUSPICIOUS_PATH,Verify email path
https://support-desk.co/restore-access,SUSPICIOUS,SUSPICIOUS_PATH,Restore access path
https://help-center.io/confirm-phone,SUSPICIOUS,SUSPICIOUS_PATH,Confirm phone path
https://service-portal.cc/unlock-account,SUSPICIOUS,SUSPICIOUS_PATH,Unlock account path
https://www.bank0famerica.com.secure-login.tk/verify,MALICIOUS,COMBO,Homograph + subdomain + .tk
https://wellsfarg0.com.account-alert.ml/action,MALICIOUS,COMBO,Homograph + subdomain + .ml
http://chase-bank-secure.ga/login,MALICIOUS,COMBO,Brand + HTTP + .ga
https://cit1bank-verify.cf/account,MALICIOUS,COMBO,Homograph + brand + .cf
http://usbank-security-alert.gq/confirm,MALICIOUS,COMBO,HTTP + brand + .gq
https://pnc-bank-update.tk/payment,MALICIOUS,COMBO,Brand + .tk
http://capital0ne-secure.ml/signin,MALICIOUS,COMBO,HTTP + homograph + .ml
https://td-bank-canada.ga.verify-account.net/auth,MALICIOUS,COMBO,Brand + subdomain
http://barcl4ys-uk.cf/login,MALICIOUS,COMBO,HTTP + homograph + .cf
https://hsbc-banking.gq.secure-portal.com/verify,MALICIOUS,COMBO,Brand + subdomain
https://commonwealth-bank-au.tk/verify,MALICIOUS,BRAND_IMPERSONATION,Australian bank fake
https://westpac-secure.ml/login,MALICIOUS,BRAND_IMPERSONATION,Australian bank fake
https://anz-banking.ga/account,MALICIOUS,BRAND_IMPERSONATION,Australian bank fake
https://nab-australia.cf/signin,MALICIOUS,BRAND_IMPERSONATION,Australian bank fake
https://lloyds-bank-uk.gq/verify,MALICIOUS,BRAND_IMPERSONATION,UK bank fake
https://santander-spain.tk/cuenta,MALICIOUS,BRAND_IMPERSONATION,Spanish bank fake
https://ing-direct.ml/login,MALICIOUS,BRAND_IMPERSONATION,ING bank fake
https://bnp-paribas.ga/compte,MALICIOUS,BRAND_IMPERSONATION,French bank fake
https://deutsche-bank.cf/konto,MALICIOUS,BRAND_IMPERSONATION,German bank fake
https://unicredit-italia.gq/conto,MALICIOUS,BRAND_IMPERSONATION,Italian bank fake
https://irs-tax-refund.tk/claim,MALICIOUS,BRAND_IMPERSONATION,IRS scam
https://ato-gov-au.ml/refund,MALICIOUS,BRAND_IMPERSONATION,ATO scam
https://hmrc-uk-gov.ga/rebate,MALICIOUS,BRAND_IMPERSONATION,HMRC scam
https://cra-canada.cf/benefit,MALICIOUS,BRAND_IMPERSONATION,CRA scam
https://social-security-usa.gq/payment,MALICIOUS,BRAND_IMPERSONATION,SSA scam
https://medicare-gov.tk/coverage,MALICIOUS,BRAND_IMPERSONATION,Medicare scam
https://centrelink-au.ml/payment,MALICIOUS,BRAND_IMPERSONATION,Centrelink scam
https://dvla-uk-gov.ga/renew,MALICIOUS,BRAND_IMPERSONATION,DVLA scam
https://service-canada.cf/ei-claim,MALICIOUS,BRAND_IMPERSONATION,Service Canada scam
https://dmv-california.gq/license,MALICIOUS,BRAND_IMPERSONATION,DMV scam
https://coinbase-wallet.tk/login,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://binance-exchange.ml/trade,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://kraken-crypto.ga/account,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://blockchain-wallet.cf/verify,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://metamask-extension.gq/connect,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://opensea-nft.tk/collection,MALICIOUS,BRAND_IMPERSONATION,NFT scam
https://phantom-wallet.ml/restore,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://uniswap-exchange.ga/swap,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://pancakeswap-bsc.cf/stake,MALICIOUS,BRAND_IMPERSONATION,Crypto scam
https://aave-defi.gq/lend,MALICIOUS,BRAND_IMPERSONATION,DeFi scam
https://steam-community-gift.tk/claim,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://epic-games-free.ml/redeem,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://playstation-network.ga/verify,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://xbox-live-gold.cf/subscribe,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://nintendo-switch.gq/eshop,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://roblox-robux-free.tk/generator,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://fortnite-vbucks.ml/get,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://discord-nitro-gift.ga/claim,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://twitch-prime-sub.cf/link,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://valorant-points.gq/buy,MALICIOUS,BRAND_IMPERSONATION,Gaming scam
https://icloud-storage-full.tk/expand,MALICIOUS,BRAND_IMPERSONATION,Apple scam
https://google-drive-share.ml/view,SUSPICIOUS,BRAND_IMPERSONATION,Google scam
https://onedrive-microsoft.ga/download,MALICIOUS,BRAND_IMPERSONATION,Microsoft scam
https://dropbox-shared-file.cf/open,SUSPICIOUS,BRAND_IMPERSONATION,Dropbox scam
https://wetransfer-download.gq/get,SUSPICIOUS,BRAND_IMPERSONATION,WeTransfer scam
https://zoom-meeting-invite.tk/join,MALICIOUS,BRAND_IMPERSONATION,Zoom scam
https://teams-microsoft-call.ml/connect,MALICIOUS,BRAND_IMPERSONATION,Teams scam
https://slack-workspace.ga/accept,SUSPICIOUS,BRAND_IMPERSONATION,Slack scam
https://webex-conference.cf/start,SUSPICIOUS,BRAND_IMPERSONATION,Webex scam
https://skype-video-call.gq/answer,SUSPICIOUS,BRAND_IMPERSONATION,Skype scam
